OriginalIndex,Predicted,GroundTruth
786,REST,REST
787,WITHDRAWAL,REST
788,WITHDRAWAL,REST
789,ATTACK_SELF,REST
790,REST,REST
791,REST,REST
792,ATTACK_OTHER,REST
793,REST,REST
794,REST,REST
795,WITHDRAWAL,REST
796,REST,REST
797,WITHDRAWAL,REST
798,WITHDRAWAL,REST
799,STABILIZE_SELF,REST
800,REST,REST
801,ATTACK_OTHER,REST
802,REST,REST
803,REST,REST
804,REST,REST
805,DEPRECIATION,REST
806,ATTACK_SELF,REST
807,WITHDRAWAL,REST
808,ATTACK_SELF,REST
809,WITHDRAWAL,REST
810,REST,REST
811,WITHDRAWAL,REST
812,REST,REST
813,ATTACK_OTHER,REST
814,REST,REST
815,REST,REST
816,AVOIDANCE,REST
817,DEPRECIATION,REST
818,AVOIDANCE,REST
819,DEPRECIATION,REST
820,STABILIZE_SELF,REST
821,STABILIZE_SELF,REST
822,ATTACK_OTHER,REST
823,REST,REST
824,ATTACK_OTHER,REST
825,ATTACK_OTHER,REST
826,REST,REST
827,REST,REST
828,DEPRECIATION,REST
829,REST,REST
830,WITHDRAWAL,REST
831,STABILIZE_SELF,REST
832,AVOIDANCE,REST
833,REST,REST
834,WITHDRAWAL,REST
835,REST,REST
836,DEPRECIATION,REST
837,REST,REST
838,STABILIZE_SELF,REST
839,DEPRECIATION,REST
840,REST,REST
841,STABILIZE_SELF,REST
842,STABILIZE_SELF,REST
843,DEPRECIATION,REST
844,DEPRECIATION,REST
845,STABILIZE_SELF,REST
846,REST,REST
847,WITHDRAWAL,REST
848,REST,REST
849,REST,REST
850,AVOIDANCE,REST
851,ATTACK_OTHER,REST
852,ATTACK_SELF,REST
853,AVOIDANCE,REST
854,STABILIZE_SELF,REST
855,AVOIDANCE,REST
856,AVOIDANCE,REST
857,STABILIZE_SELF,REST
858,REST,REST
859,REST,REST
860,DEPRECIATION,REST
861,REST,REST
862,REST,REST
863,REST,REST
864,REST,REST
865,STABILIZE_SELF,REST
866,STABILIZE_SELF,REST
867,WITHDRAWAL,REST
868,REST,REST
869,REST,REST
870,AVOIDANCE,REST
871,WITHDRAWAL,REST
872,REST,REST
873,REST,REST
874,WITHDRAWAL,REST
875,AVOIDANCE,REST
876,ATTACK_OTHER,REST
877,ATTACK_SELF,REST
878,REST,REST
879,WITHDRAWAL,REST
880,REST,REST
881,AVOIDANCE,REST
882,REST,REST
883,REST,REST
884,ATTACK_SELF,REST
885,REST,REST
886,ATTACK_SELF,REST
887,ATTACK_OTHER,REST
888,DEPRECIATION,REST
889,ATTACK_SELF,REST
890,ATTACK_SELF,REST
891,DEPRECIATION,REST
892,REST,REST
893,REST,REST
894,STABILIZE_SELF,REST
895,ATTACK_OTHER,REST
896,REST,REST
897,REST,REST
898,REST,REST
899,ATTACK_OTHER,REST
900,REST,REST
901,WITHDRAWAL,REST
902,ATTACK_OTHER,REST
903,REST,REST
904,AVOIDANCE,REST
905,WITHDRAWAL,REST
906,AVOIDANCE,REST
907,REST,REST
908,ATTACK_OTHER,REST
909,REST,REST
910,REST,REST
911,STABILIZE_SELF,REST
912,REST,REST
913,REST,REST
914,ATTACK_OTHER,REST
915,REST,REST
916,AVOIDANCE,REST
917,DEPRECIATION,REST
918,AVOIDANCE,REST
919,REST,REST
920,ATTACK_SELF,REST
921,AVOIDANCE,REST
922,REST,REST
923,WITHDRAWAL,REST
924,DEPRECIATION,REST
925,DEPRECIATION,REST
926,DEPRECIATION,REST
927,ATTACK_OTHER,REST
928,DEPRECIATION,REST
929,REST,REST
930,REST,REST
931,AVOIDANCE,REST
932,REST,REST
933,REST,REST
934,REST,REST
935,AVOIDANCE,REST
936,REST,REST
937,ATTACK_SELF,REST
938,REST,REST
939,STABILIZE_SELF,REST
940,AVOIDANCE,REST
941,STABILIZE_SELF,REST
942,ATTACK_OTHER,REST
943,REST,REST
944,REST,REST
945,ATTACK_SELF,REST
946,REST,REST
947,WITHDRAWAL,REST
948,REST,REST
949,DEPRECIATION,REST
950,REST,REST
951,ATTACK_SELF,REST
952,ATTACK_OTHER,REST
953,STABILIZE_SELF,REST
954,REST,REST
955,WITHDRAWAL,REST
956,ATTACK_SELF,REST
957,ATTACK_SELF,REST
958,AVOIDANCE,REST
959,STABILIZE_SELF,REST
960,WITHDRAWAL,REST
961,WITHDRAWAL,REST
962,REST,REST
963,ATTACK_SELF,REST
964,REST,REST
965,ATTACK_OTHER,REST
966,ATTACK_SELF,REST
967,REST,REST
968,ATTACK_OTHER,REST
969,REST,REST
970,REST,REST
971,WITHDRAWAL,REST
972,REST,REST
973,REST,REST
974,DEPRECIATION,REST
975,REST,REST
976,AVOIDANCE,REST
977,DEPRECIATION,REST
978,ATTACK_OTHER,REST
979,REST,REST
980,WITHDRAWAL,REST
981,AVOIDANCE,REST
982,REST,REST
983,DEPRECIATION,REST
984,STABILIZE_SELF,REST
985,REST,REST
986,REST,REST
987,DEPRECIATION,REST
988,AVOIDANCE,REST
989,ATTACK_SELF,REST
990,REST,REST
991,REST,REST
992,WITHDRAWAL,REST
993,REST,REST
994,REST,REST
995,REST,REST
996,REST,REST
