OriginalIndex,Predicted,GroundTruth
786,ATTACK_SELF,REST
787,ATTACK_OTHER,REST
788,REST,REST
789,REST,REST
790,REST,REST
791,REST,REST
792,REST,REST
793,REST,REST
794,REST,REST
795,ATTACK_SELF,REST
796,REST,REST
797,REST,REST
798,REST,REST
799,AVOIDANCE,REST
800,DEPRECIATION,REST
801,DEPRECIATION,REST
802,REST,REST
803,REST,REST
804,ATTACK_SELF,REST
805,REST,REST
806,REST,REST
807,STABILIZE_SELF,REST
808,REST,REST
809,REST,REST
810,REST,REST
811,AVOIDANCE,REST
812,AVOIDANCE,REST
813,ATTACK_SELF,REST
814,ATTACK_OTHER,REST
815,REST,REST
816,ATTACK_OTHER,REST
817,REST,REST
818,STABILIZE_SELF,REST
819,ATTACK_SELF,REST
820,REST,REST
821,REST,REST
822,REST,REST
823,REST,REST
824,REST,REST
825,REST,REST
826,REST,REST
827,WITHDRAWAL,REST
828,REST,REST
829,ATTACK_SELF,REST
830,REST,REST
831,REST,REST
832,STABILIZE_SELF,REST
833,ATTACK_SELF,REST
834,REST,REST
835,REST,REST
836,REST,REST
837,REST,REST
838,REST,REST
839,REST,REST
840,REST,REST
841,REST,REST
842,REST,REST
843,WITHDRAWAL,REST
844,REST,REST
845,REST,REST
846,WITHDRAWAL,REST
847,REST,REST
848,REST,REST
849,ATTACK_OTHER,REST
850,ATTACK_SELF,REST
851,ATTACK_OTHER,REST
852,ATTACK_SELF,REST
853,REST,REST
854,REST,REST
855,REST,REST
856,REST,REST
857,REST,REST
858,DEPRECIATION,REST
859,WITHDRAWAL,REST
860,REST,REST
861,REST,REST
862,REST,REST
863,REST,REST
864,AVOIDANCE,REST
865,WITHDRAWAL,REST
866,DEPRECIATION,REST
867,AVOIDANCE,REST
868,AVOIDANCE,REST
869,WITHDRAWAL,REST
870,REST,REST
871,ATTACK_OTHER,REST
872,REST,REST
873,ATTACK_SELF,REST
874,DEPRECIATION,REST
875,DEPRECIATION,REST
876,REST,REST
877,REST,REST
878,STABILIZE_SELF,REST
879,REST,REST
880,AVOIDANCE,REST
881,AVOIDANCE,REST
882,REST,REST
883,STABILIZE_SELF,REST
884,REST,REST
885,REST,REST
886,DEPRECIATION,REST
887,REST,REST
888,WITHDRAWAL,REST
889,REST,REST
890,REST,REST
891,REST,REST
892,DEPRECIATION,REST
893,REST,REST
894,REST,REST
895,ATTACK_OTHER,REST
896,DEPRECIATION,REST
897,STABILIZE_SELF,REST
898,REST,REST
899,STABILIZE_SELF,REST
900,WITHDRAWAL,REST
901,ATTACK_OTHER,REST
902,REST,REST
903,ATTACK_SELF,REST
904,REST,REST
905,ATTACK_SELF,REST
906,REST,REST
907,STABILIZE_SELF,REST
908,STABILIZE_SELF,REST
909,DEPRECIATION,REST
910,REST,REST
911,REST,REST
912,ATTACK_OTHER,REST
913,REST,REST
914,REST,REST
915,REST,REST
916,AVOIDANCE,REST
917,REST,REST
918,ATTACK_SELF,REST
919,REST,REST
920,REST,REST
921,REST,REST
922,REST,REST
923,REST,REST
924,REST,REST
925,DEPRECIATION,REST
926,AVOIDANCE,REST
927,REST,REST
928,REST,REST
929,REST,REST
930,REST,REST
931,ATTACK_OTHER,REST
932,REST,REST
933,REST,REST
934,STABILIZE_SELF,REST
935,REST,REST
936,REST,REST
937,REST,REST
938,REST,REST
939,STABILIZE_SELF,REST
940,AVOIDANCE,REST
941,STABILIZE_SELF,REST
942,REST,REST
943,ATTACK_OTHER,REST
944,REST,REST
945,REST,REST
946,WITHDRAWAL,REST
947,REST,REST
948,DEPRECIATION,REST
949,REST,REST
950,REST,REST
951,REST,REST
952,REST,REST
953,DEPRECIATION,REST
954,REST,REST
955,REST,REST
956,REST,REST
957,REST,REST
958,REST,REST
959,REST,REST
960,REST,REST
961,REST,REST
962,DEPRECIATION,REST
963,REST,REST
964,REST,REST
965,REST,REST
966,REST,REST
967,STABILIZE_SELF,REST
968,REST,REST
969,ATTACK_OTHER,REST
970,STABILIZE_SELF,REST
971,REST,REST
972,REST,REST
973,REST,REST
974,AVOIDANCE,REST
975,AVOIDANCE,REST
976,REST,REST
977,REST,REST
978,REST,REST
979,ATTACK_OTHER,REST
980,DEPRECIATION,REST
981,REST,REST
982,REST,REST
983,REST,REST
984,ATTACK_OTHER,REST
985,DEPRECIATION,REST
986,REST,REST
987,REST,REST
988,REST,REST
989,REST,REST
990,REST,REST
991,ATTACK_OTHER,REST
992,REST,REST
993,ATTACK_SELF,REST
994,REST,REST
995,REST,REST
996,REST,REST
997,REST,REST
998,REST,REST
999,REST,REST
1000,REST,REST
1001,REST,REST
1002,REST,REST
1003,REST,REST
1004,REST,REST
1005,REST,REST
1006,REST,REST
1007,REST,REST
1008,REST,REST
1009,REST,REST
1010,REST,REST
1011,STABILIZE_SELF,REST
1012,ATTACK_SELF,REST
1013,ATTACK_SELF,REST
1014,DEPRECIATION,REST
1015,REST,REST
1016,REST,REST
1017,WITHDRAWAL,REST
1018,AVOIDANCE,REST
1019,REST,REST
1020,REST,REST
1021,REST,REST
1022,ATTACK_SELF,REST
1023,REST,REST
1024,REST,REST
1025,ATTACK_OTHER,REST
1026,STABILIZE_SELF,REST
1027,REST,REST
1028,ATTACK_OTHER,REST
1029,ATTACK_SELF,REST
1030,ATTACK_SELF,REST
1031,REST,REST
1032,AVOIDANCE,REST
1033,REST,REST
1034,REST,REST
1035,REST,REST
1036,DEPRECIATION,REST
1037,REST,REST
1038,REST,REST
