OriginalIndex,Predicted,GroundTruth
786,REST,REST
787,DEPRECIATION,REST
788,REST,REST
789,REST,REST
790,REST,REST
791,STABILIZE_SELF,REST
792,REST,REST
793,ATTACK_SELF,REST
794,REST,REST
795,REST,REST
796,REST,REST
797,REST,REST
798,REST,REST
799,ATTACK_SELF,REST
800,STABILIZE_SELF,REST
801,REST,REST
802,REST,REST
803,AVOIDANCE,REST
804,REST,REST
805,REST,REST
806,REST,REST
807,ATTACK_SELF,REST
808,ATTACK_OTHER,REST
809,AVOIDANCE,REST
810,REST,REST
811,REST,REST
812,ATTACK_SELF,REST
813,REST,REST
814,REST,REST
815,REST,REST
816,REST,REST
817,REST,REST
818,REST,REST
819,REST,REST
820,AVOIDANCE,REST
821,REST,REST
822,ATTACK_SELF,REST
823,REST,REST
824,ATTACK_OTHER,REST
825,AVOIDANCE,REST
826,REST,REST
827,REST,REST
828,REST,REST
829,REST,REST
830,ATTACK_OTHER,REST
831,REST,REST
832,DEPRECIATION,REST
833,AVOIDANCE,REST
834,ATTACK_OTHER,REST
835,REST,REST
836,REST,REST
837,REST,REST
838,AVOIDANCE,REST
839,REST,REST
840,REST,REST
841,REST,REST
842,REST,REST
843,AVOIDANCE,REST
844,REST,REST
845,REST,REST
846,REST,REST
847,REST,REST
848,REST,REST
849,DEPRECIATION,REST
850,DEPRECIATION,REST
851,REST,REST
852,ATTACK_OTHER,REST
853,REST,REST
854,AVOIDANCE,REST
855,REST,REST
856,REST,REST
857,AVOIDANCE,REST
858,REST,REST
859,ATTACK_OTHER,REST
860,REST,REST
861,ATTACK_OTHER,REST
862,REST,REST
863,AVOIDANCE,REST
864,DEPRECIATION,REST
865,REST,REST
866,AVOIDANCE,REST
867,REST,REST
868,REST,REST
869,REST,REST
870,ATTACK_OTHER,REST
871,REST,REST
872,REST,REST
873,REST,REST
874,REST,REST
875,REST,REST
876,STABILIZE_SELF,REST
877,REST,REST
878,REST,REST
879,REST,REST
880,DEPRECIATION,REST
881,ATTACK_SELF,REST
882,REST,REST
883,REST,REST
884,AVOIDANCE,REST
885,AVOIDANCE,REST
886,WITHDRAWAL,REST
887,REST,REST
888,ATTACK_SELF,REST
889,WITHDRAWAL,REST
890,STABILIZE_SELF,REST
891,REST,REST
892,STABILIZE_SELF,REST
893,ATTACK_SELF,REST
894,REST,REST
895,REST,REST
896,REST,REST
897,REST,REST
898,REST,REST
899,REST,REST
900,REST,REST
901,REST,REST
902,REST,REST
903,DEPRECIATION,REST
904,REST,REST
905,REST,REST
906,REST,REST
907,WITHDRAWAL,REST
908,ATTACK_SELF,REST
909,WITHDRAWAL,REST
910,REST,REST
911,REST,REST
912,REST,REST
913,REST,REST
914,REST,REST
915,DEPRECIATION,REST
916,REST,REST
917,DEPRECIATION,REST
918,REST,REST
919,REST,REST
920,ATTACK_OTHER,REST
921,ATTACK_OTHER,REST
922,REST,REST
923,REST,REST
924,REST,REST
925,REST,REST
926,ATTACK_OTHER,REST
927,REST,REST
928,STABILIZE_SELF,REST
929,REST,REST
930,AVOIDANCE,REST
931,REST,REST
932,REST,REST
933,REST,REST
934,REST,REST
935,AVOIDANCE,REST
936,REST,REST
937,AVOIDANCE,REST
938,REST,REST
939,REST,REST
940,REST,REST
941,ATTACK_SELF,REST
942,ATTACK_SELF,REST
943,REST,REST
944,ATTACK_OTHER,REST
945,ATTACK_SELF,REST
946,AVOIDANCE,REST
947,WITHDRAWAL,REST
948,REST,REST
949,WITHDRAWAL,REST
950,ATTACK_SELF,REST
951,AVOIDANCE,REST
952,REST,REST
953,ATTACK_OTHER,REST
954,REST,REST
955,ATTACK_SELF,REST
956,REST,REST
957,WITHDRAWAL,REST
958,WITHDRAWAL,REST
959,REST,REST
960,REST,REST
961,AVOIDANCE,REST
962,REST,REST
963,WITHDRAWAL,REST
964,STABILIZE_SELF,REST
965,REST,REST
966,ATTACK_OTHER,REST
967,REST,REST
968,REST,REST
969,REST,REST
970,ATTACK_SELF,REST
971,REST,REST
972,REST,REST
973,REST,REST
974,REST,REST
975,AVOIDANCE,REST
976,REST,REST
977,REST,REST
978,STABILIZE_SELF,REST
979,REST,REST
980,REST,REST
981,DEPRECIATION,REST
982,ATTACK_SELF,REST
983,ATTACK_OTHER,REST
984,REST,REST
985,DEPRECIATION,REST
986,REST,REST
987,STABILIZE_SELF,REST
988,ATTACK_SELF,REST
989,REST,REST
990,REST,REST
991,REST,REST
992,REST,REST
993,REST,REST
994,AVOIDANCE,REST
995,AVOIDANCE,REST
996,REST,REST
997,REST,REST
998,REST,REST
999,REST,REST
1000,WITHDRAWAL,REST
1001,REST,REST
1002,REST,REST
1003,REST,REST
1004,REST,REST
1005,REST,REST
1006,REST,REST
1007,REST,REST
1008,DEPRECIATION,REST
1009,ATTACK_OTHER,REST
1010,REST,REST
1011,REST,REST
1012,AVOIDANCE,REST
