OriginalIndex,Predicted,GroundTruth
786,DEPRECIATION,REST
787,REST,REST
788,WITHDRAWAL,REST
789,ATTACK_SELF,REST
790,REST,REST
791,REST,REST
792,REST,REST
793,STABILIZE_SELF,REST
794,REST,REST
795,REST,REST
796,ATTACK_OTHER,REST
797,STABILIZE_SELF,REST
798,STABILIZE_SELF,REST
799,DEPRECIATION,REST
800,DEPRECIATION,REST
801,WITHDRAWAL,REST
802,REST,REST
803,REST,REST
804,WITHDRAWAL,REST
805,REST,REST
806,REST,REST
807,REST,REST
808,REST,REST
809,ATTACK_SELF,REST
810,REST,REST
811,DEPRECIATION,REST
812,AVOIDANCE,REST
813,ATTACK_SELF,REST
814,REST,REST
815,WITHDRAWAL,REST
816,REST,REST
817,REST,REST
818,WITHDRAWAL,REST
819,REST,REST
820,REST,REST
821,REST,REST
822,AVOIDANCE,REST
823,REST,REST
824,STABILIZE_SELF,REST
825,AVOIDANCE,REST
826,ATTACK_SELF,REST
827,DEPRECIATION,REST
828,REST,REST
829,REST,REST
830,DEPRECIATION,REST
831,REST,REST
832,STABILIZE_SELF,REST
833,DEPRECIATION,REST
834,REST,REST
835,REST,REST
836,REST,REST
837,DEPRECIATION,REST
838,REST,REST
839,WITHDRAWAL,REST
840,REST,REST
841,DEPRECIATION,REST
842,AVOIDANCE,REST
843,ATTACK_OTHER,REST
844,REST,REST
845,ATTACK_OTHER,REST
846,WITHDRAWAL,REST
847,REST,REST
848,REST,REST
849,ATTACK_OTHER,REST
850,STABILIZE_SELF,REST
851,REST,REST
852,REST,REST
853,DEPRECIATION,REST
854,REST,REST
855,REST,REST
856,REST,REST
857,REST,REST
858,ATTACK_SELF,REST
859,REST,REST
860,REST,REST
861,WITHDRAWAL,REST
862,DEPRECIATION,REST
863,REST,REST
864,REST,REST
865,ATTACK_OTHER,REST
866,STABILIZE_SELF,REST
867,ATTACK_OTHER,REST
868,WITHDRAWAL,REST
869,ATTACK_SELF,REST
870,WITHDRAWAL,REST
871,WITHDRAWAL,REST
872,REST,REST
873,REST,REST
874,ATTACK_OTHER,REST
875,REST,REST
876,REST,REST
