OriginalIndex,Predicted,GroundTruth
786,REST,REST
787,REST,REST
788,ATTACK_SELF,REST
789,ATTACK_SELF,REST
790,AVOIDANCE,REST
791,DEPRECIATION,REST
792,ATTACK_OTHER,REST
793,ATTACK_SELF,REST
794,DEPRECIATION,REST
795,WITHDRAWAL,REST
796,STABILIZE_SELF,REST
797,REST,REST
798,AVOIDANCE,REST
799,REST,REST
800,ATTACK_SELF,REST
801,DEPRECIATION,REST
802,REST,REST
803,REST,REST
804,REST,REST
805,REST,REST
806,REST,REST
807,DEPRECIATION,REST
808,ATTACK_SELF,REST
809,REST,REST
810,REST,REST
811,ATTACK_SELF,REST
812,AVOIDANCE,REST
813,REST,REST
814,DEPRECIATION,REST
815,DEPRECIATION,REST
816,REST,REST
817,AVOIDANCE,REST
818,REST,REST
819,STABILIZE_SELF,REST
820,STABILIZE_SELF,REST
821,REST,REST
822,ATTACK_OTHER,REST
823,REST,REST
824,WITHDRAWAL,REST
825,REST,REST
826,ATTACK_SELF,REST
827,REST,REST
828,REST,REST
829,STABILIZE_SELF,REST
830,ATTACK_OTHER,REST
831,REST,REST
832,REST,REST
833,DEPRECIATION,REST
834,ATTACK_SELF,REST
835,ATTACK_SELF,REST
836,DEPRECIATION,REST
837,AVOIDANCE,REST
838,AVOIDANCE,REST
839,WITHDRAWAL,REST
840,REST,REST
841,ATTACK_OTHER,REST
842,REST,REST
843,REST,REST
844,ATTACK_SELF,REST
845,ATTACK_OTHER,REST
846,REST,REST
847,ATTACK_SELF,REST
848,ATTACK_SELF,REST
849,REST,REST
850,REST,REST
851,REST,REST
852,DEPRECIATION,REST
853,REST,REST
854,REST,REST
855,ATTACK_SELF,REST
856,DEPRECIATION,REST
857,ATTACK_SELF,REST
858,ATTACK_OTHER,REST
859,ATTACK_SELF,REST
860,REST,REST
861,REST,REST
862,REST,REST
863,AVOIDANCE,REST
864,WITHDRAWAL,REST
865,ATTACK_OTHER,REST
866,AVOIDANCE,REST
867,WITHDRAWAL,REST
868,WITHDRAWAL,REST
869,ATTACK_SELF,REST
870,REST,REST
871,ATTACK_OTHER,REST
872,ATTACK_OTHER,REST
873,STABILIZE_SELF,REST
874,AVOIDANCE,REST
875,REST,REST
876,REST,REST
877,REST,REST
878,AVOIDANCE,REST
879,STABILIZE_SELF,REST
880,ATTACK_SELF,REST
881,WITHDRAWAL,REST
882,REST,REST
883,DEPRECIATION,REST
884,STABILIZE_SELF,REST
885,STABILIZE_SELF,REST
886,ATTACK_SELF,REST
887,DEPRECIATION,REST
888,REST,REST
889,ATTACK_SELF,REST
890,REST,REST
891,DEPRECIATION,REST
892,WITHDRAWAL,REST
893,STABILIZE_SELF,REST
894,REST,REST
895,ATTACK_SELF,REST
896,DEPRECIATION,REST
897,DEPRECIATION,REST
898,REST,REST
899,REST,REST
900,AVOIDANCE,REST
901,AVOIDANCE,REST
902,STABILIZE_SELF,REST
903,STABILIZE_SELF,REST
904,ATTACK_SELF,REST
905,REST,REST
906,AVOIDANCE,REST
907,REST,REST
908,ATTACK_OTHER,REST
909,ATTACK_OTHER,REST
910,REST,REST
911,AVOIDANCE,REST
912,REST,REST
913,DEPRECIATION,REST
914,ATTACK_SELF,REST
915,AVOIDANCE,REST
916,DEPRECIATION,REST
917,REST,REST
918,WITHDRAWAL,REST
919,AVOIDANCE,REST
920,DEPRECIATION,REST
921,WITHDRAWAL,REST
922,REST,REST
923,STABILIZE_SELF,REST
924,AVOIDANCE,REST
925,ATTACK_SELF,REST
926,REST,REST
927,STABILIZE_SELF,REST
928,WITHDRAWAL,REST
929,ATTACK_OTHER,REST
930,REST,REST
931,ATTACK_OTHER,REST
932,REST,REST
933,REST,REST
934,ATTACK_OTHER,REST
935,AVOIDANCE,REST
936,STABILIZE_SELF,REST
937,ATTACK_OTHER,REST
938,REST,REST
939,REST,REST
940,REST,REST
941,AVOIDANCE,REST
942,REST,REST
943,WITHDRAWAL,REST
944,REST,REST
945,ATTACK_SELF,REST
946,WITHDRAWAL,REST
947,REST,REST
948,REST,REST
949,STABILIZE_SELF,REST
950,REST,REST
951,DEPRECIATION,REST
952,REST,REST
953,ATTACK_SELF,REST
954,ATTACK_SELF,REST
955,REST,REST
956,REST,REST
957,WITHDRAWAL,REST
958,ATTACK_SELF,REST
959,REST,REST
960,REST,REST
961,AVOIDANCE,REST
962,REST,REST
963,REST,REST
964,STABILIZE_SELF,REST
965,AVOIDANCE,REST
966,REST,REST
967,ATTACK_SELF,REST
968,ATTACK_SELF,REST
969,REST,REST
970,REST,REST
971,REST,REST
972,AVOIDANCE,REST
973,WITHDRAWAL,REST
974,WITHDRAWAL,REST
975,AVOIDANCE,REST
976,AVOIDANCE,REST
977,REST,REST
978,REST,REST
979,REST,REST
980,REST,REST
981,REST,REST
982,REST,REST
983,REST,REST
984,ATTACK_OTHER,REST
985,ATTACK_OTHER,REST
986,REST,REST
987,REST,REST
988,DEPRECIATION,REST
989,ATTACK_OTHER,REST
990,WITHDRAWAL,REST
991,AVOIDANCE,REST
992,ATTACK_SELF,REST
993,WITHDRAWAL,REST
994,AVOIDANCE,REST
995,REST,REST
996,DEPRECIATION,REST
997,WITHDRAWAL,REST
998,DEPRECIATION,REST
999,REST,REST
1000,ATTACK_OTHER,REST
1001,ATTACK_SELF,REST
1002,REST,REST
1003,DEPRECIATION,REST
