OriginalIndex,Predicted,GroundTruth
786,REST,REST
787,ATTACK_OTHER,REST
788,REST,REST
789,REST,REST
790,REST,REST
791,REST,REST
792,WITHDRAWAL,REST
793,REST,REST
794,ATTACK_OTHER,REST
795,REST,REST
796,REST,REST
797,STABILIZE_SELF,REST
798,REST,REST
799,REST,REST
800,REST,REST
801,ATTACK_OTHER,REST
802,REST,REST
803,REST,REST
804,REST,REST
805,REST,REST
806,AVOIDANCE,REST
807,ATTACK_OTHER,REST
808,REST,REST
809,REST,REST
810,DEPRECIATION,REST
811,ATTACK_OTHER,REST
812,ATTACK_SELF,REST
813,ATTACK_SELF,REST
814,REST,REST
815,REST,REST
816,REST,REST
817,STABILIZE_SELF,REST
818,REST,REST
819,REST,REST
820,REST,REST
821,REST,REST
822,DEPRECIATION,REST
823,REST,REST
824,ATTACK_OTHER,REST
825,DEPRECIATION,REST
826,REST,REST
827,REST,REST
828,REST,REST
829,REST,REST
830,STABILIZE_SELF,REST
831,STABILIZE_SELF,REST
832,REST,REST
833,REST,REST
834,REST,REST
835,REST,REST
836,REST,REST
837,ATTACK_SELF,REST
838,REST,REST
839,REST,REST
840,REST,REST
841,AVOIDANCE,REST
842,STABILIZE_SELF,REST
843,REST,REST
844,REST,REST
845,REST,REST
846,REST,REST
847,AVOIDANCE,REST
848,REST,REST
849,REST,REST
850,STABILIZE_SELF,REST
851,REST,REST
852,REST,REST
853,AVOIDANCE,REST
854,REST,REST
855,REST,REST
856,REST,REST
857,DEPRECIATION,REST
858,REST,REST
859,ATTACK_OTHER,REST
860,REST,REST
861,REST,REST
862,REST,REST
863,AVOIDANCE,REST
864,REST,REST
865,REST,REST
866,REST,REST
867,REST,REST
868,DEPRECIATION,REST
869,REST,REST
870,REST,REST
871,DEPRECIATION,REST
872,STABILIZE_SELF,REST
873,REST,REST
874,DEPRECIATION,REST
875,REST,REST
876,AVOIDANCE,REST
877,WITHDRAWAL,REST
878,STABILIZE_SELF,REST
879,ATTACK_OTHER,REST
880,AVOIDANCE,REST
881,REST,REST
882,AVOIDANCE,REST
883,REST,REST
884,REST,REST
885,DEPRECIATION,REST
886,REST,REST
887,ATTACK_OTHER,REST
888,WITHDRAWAL,REST
889,AVOIDANCE,REST
890,REST,REST
891,REST,REST
892,ATTACK_SELF,REST
893,ATTACK_OTHER,REST
894,REST,REST
895,ATTACK_OTHER,REST
896,ATTACK_OTHER,REST
897,REST,REST
898,ATTACK_SELF,REST
899,STABILIZE_SELF,REST
900,REST,REST
901,ATTACK_OTHER,REST
902,STABILIZE_SELF,REST
903,WITHDRAWAL,REST
904,STABILIZE_SELF,REST
905,STABILIZE_SELF,REST
906,REST,REST
907,AVOIDANCE,REST
908,ATTACK_SELF,REST
909,STABILIZE_SELF,REST
910,REST,REST
911,REST,REST
912,REST,REST
913,REST,REST
914,REST,REST
915,STABILIZE_SELF,REST
916,REST,REST
917,REST,REST
918,REST,REST
919,ATTACK_OTHER,REST
920,REST,REST
921,REST,REST
922,REST,REST
923,REST,REST
924,ATTACK_OTHER,REST
925,DEPRECIATION,REST
926,ATTACK_SELF,REST
927,REST,REST
928,AVOIDANCE,REST
929,AVOIDANCE,REST
930,REST,REST
931,REST,REST
932,REST,REST
933,REST,REST
934,REST,REST
935,REST,REST
936,REST,REST
937,STABILIZE_SELF,REST
938,ATTACK_OTHER,REST
939,REST,REST
940,REST,REST
941,ATTACK_SELF,REST
942,STABILIZE_SELF,REST
943,REST,REST
944,REST,REST
945,STABILIZE_SELF,REST
946,STABILIZE_SELF,REST
947,REST,REST
948,REST,REST
949,REST,REST
950,WITHDRAWAL,REST
951,REST,REST
952,ATTACK_SELF,REST
953,REST,REST
954,REST,REST
955,ATTACK_OTHER,REST
956,WITHDRAWAL,REST
957,ATTACK_SELF,REST
958,REST,REST
959,REST,REST
960,REST,REST
961,ATTACK_OTHER,REST
962,ATTACK_OTHER,REST
963,REST,REST
964,REST,REST
965,STABILIZE_SELF,REST
966,REST,REST
967,REST,REST
968,DEPRECIATION,REST
969,REST,REST
970,REST,REST
971,REST,REST
972,ATTACK_SELF,REST
973,REST,REST
974,AVOIDANCE,REST
975,REST,REST
976,ATTACK_OTHER,REST
977,STABILIZE_SELF,REST
978,REST,REST
979,STABILIZE_SELF,REST
980,DEPRECIATION,REST
981,REST,REST
982,STABILIZE_SELF,REST
983,REST,REST
984,STABILIZE_SELF,REST
985,REST,REST
986,REST,REST
987,ATTACK_OTHER,REST
988,REST,REST
