OriginalIndex,Predicted,GroundTruth
786,REST,REST
787,REST,REST
788,ATTACK_OTHER,REST
789,REST,REST
790,REST,REST
791,REST,REST
792,REST,REST
793,REST,REST
794,STABILIZE_SELF,REST
795,REST,REST
796,REST,REST
797,STABILIZE_SELF,REST
798,REST,REST
799,REST,REST
800,REST,REST
801,STABILIZE_SELF,REST
802,REST,REST
803,WITHDRAWAL,REST
804,REST,REST
805,AVOIDANCE,REST
806,ATTACK_SELF,REST
807,REST,REST
808,STABILIZE_SELF,REST
809,REST,REST
810,REST,REST
811,REST,REST
812,ATTACK_OTHER,REST
813,REST,REST
814,REST,REST
815,REST,REST
816,STABILIZE_SELF,REST
817,REST,REST
818,REST,REST
819,REST,REST
820,WITHDRAWAL,REST
821,REST,REST
822,ATTACK_SELF,REST
823,DEPRECIATION,REST
824,STABILIZE_SELF,REST
825,ATTACK_SELF,REST
826,REST,REST
827,ATTACK_OTHER,REST
828,WITHDRAWAL,REST
829,REST,REST
830,REST,REST
831,REST,REST
832,REST,REST
833,REST,REST
834,REST,REST
835,REST,REST
836,STABILIZE_SELF,REST
837,DEPRECIATION,REST
838,REST,REST
839,REST,REST
840,REST,REST
841,REST,REST
842,REST,REST
843,REST,REST
844,AVOIDANCE,REST
845,REST,REST
846,REST,REST
847,REST,REST
848,STABILIZE_SELF,REST
849,REST,REST
850,REST,REST
851,DEPRECIATION,REST
852,REST,REST
853,REST,REST
854,REST,REST
855,ATTACK_SELF,REST
856,ATTACK_OTHER,REST
857,REST,REST
858,ATTACK_OTHER,REST
859,REST,REST
860,REST,REST
861,REST,REST
862,REST,REST
863,REST,REST
864,DEPRECIATION,REST
865,REST,REST
866,REST,REST
867,AVOIDANCE,REST
868,ATTACK_OTHER,REST
869,DEPRECIATION,REST
870,REST,REST
871,REST,REST
872,ATTACK_SELF,REST
873,REST,REST
874,REST,REST
875,WITHDRAWAL,REST
876,WITHDRAWAL,REST
877,REST,REST
878,REST,REST
879,REST,REST
880,REST,REST
881,WITHDRAWAL,REST
882,REST,REST
883,ATTACK_OTHER,REST
884,REST,REST
885,REST,REST
886,REST,REST
887,REST,REST
888,REST,REST
889,REST,REST
890,DEPRECIATION,REST
891,WITHDRAWAL,REST
892,REST,REST
893,REST,REST
894,REST,REST
895,REST,REST
896,REST,REST
897,REST,REST
898,REST,REST
899,WITHDRAWAL,REST
900,WITHDRAWAL,REST
901,REST,REST
902,REST,REST
903,REST,REST
904,REST,REST
905,REST,REST
906,ATTACK_OTHER,REST
907,REST,REST
908,REST,REST
909,REST,REST
910,REST,REST
911,REST,REST
912,REST,REST
913,REST,REST
914,REST,REST
915,DEPRECIATION,REST
916,AVOIDANCE,REST
917,REST,REST
918,DEPRECIATION,REST
919,REST,REST
920,REST,REST
921,REST,REST
922,STABILIZE_SELF,REST
923,REST,REST
924,REST,REST
925,REST,REST
926,REST,REST
927,STABILIZE_SELF,REST
928,DEPRECIATION,REST
929,REST,REST
930,REST,REST
931,REST,REST
932,AVOIDANCE,REST
933,REST,REST
934,ATTACK_SELF,REST
935,WITHDRAWAL,REST
936,DEPRECIATION,REST
937,REST,REST
938,WITHDRAWAL,REST
939,REST,REST
940,REST,REST
941,REST,REST
942,ATTACK_OTHER,REST
943,REST,REST
944,REST,REST
945,DEPRECIATION,REST
946,REST,REST
947,REST,REST
948,REST,REST
949,REST,REST
950,REST,REST
951,REST,REST
952,REST,REST
953,ATTACK_SELF,REST
954,REST,REST
955,REST,REST
956,STABILIZE_SELF,REST
957,REST,REST
958,REST,REST
959,REST,REST
960,ATTACK_SELF,REST
961,REST,REST
962,REST,REST
963,REST,REST
964,REST,REST
965,REST,REST
966,STABILIZE_SELF,REST
967,REST,REST
968,ATTACK_SELF,REST
969,STABILIZE_SELF,REST
970,REST,REST
971,ATTACK_OTHER,REST
972,REST,REST
973,REST,REST
974,REST,REST
975,STABILIZE_SELF,REST
976,STABILIZE_SELF,REST
977,DEPRECIATION,REST
978,REST,REST
979,REST,REST
980,DEPRECIATION,REST
981,REST,REST
982,REST,REST
983,REST,REST
984,REST,REST
985,REST,REST
986,REST,REST
987,REST,REST
988,REST,REST
989,REST,REST
990,REST,REST
991,DEPRECIATION,REST
992,ATTACK_OTHER,REST
993,STABILIZE_SELF,REST
994,REST,REST
995,REST,REST
996,REST,REST
997,DEPRECIATION,REST
998,REST,REST
999,ATTACK_SELF,REST
1000,REST,REST
1001,REST,REST
1002,WITHDRAWAL,REST
1003,REST,REST
1004,REST,REST
1005,REST,REST
1006,REST,REST
1007,REST,REST
1008,REST,REST
1009,STABILIZE_SELF,REST
1010,WITHDRAWAL,REST
1011,REST,REST
1012,REST,REST
1013,REST,REST
1014,REST,REST
1015,REST,REST
1016,REST,REST
1017,REST,REST
1018,REST,REST
1019,REST,REST
1020,REST,REST
1021,STABILIZE_SELF,REST
1022,DEPRECIATION,REST
1023,STABILIZE_SELF,REST
1024,REST,REST
1025,DEPRECIATION,REST
1026,REST,REST
1027,ATTACK_SELF,REST
1028,STABILIZE_SELF,REST
1029,REST,REST
1030,REST,REST
1031,REST,REST
1032,REST,REST
1033,REST,REST
1034,WITHDRAWAL,REST
1035,REST,REST
1036,REST,REST
1037,REST,REST
1038,REST,REST
1039,REST,REST
1040,REST,REST
1041,REST,REST
1042,REST,REST
1043,REST,REST
1044,ATTACK_OTHER,REST
