OriginalIndex,Predicted,GroundTruth
786,DEPRECIATION,REST
787,REST,REST
788,REST,REST
789,ATTACK_OTHER,REST
790,AVOIDANCE,REST
791,REST,REST
792,REST,REST
793,ATTACK_OTHER,REST
794,AVOIDANCE,REST
795,ATTACK_OTHER,REST
796,DEPRECIATION,REST
797,DEPRECIATION,REST
798,REST,REST
799,DEPRECIATION,REST
800,REST,REST
801,REST,REST
802,ATTACK_OTHER,REST
803,ATTACK_SELF,REST
804,REST,REST
805,REST,REST
806,STABILIZE_SELF,REST
807,STABILIZE_SELF,REST
808,REST,REST
809,WITHDRAWAL,REST
810,REST,REST
811,AVOIDANCE,REST
812,REST,REST
813,AVOIDANCE,REST
814,AVOIDANCE,REST
815,AVOIDANCE,REST
816,REST,REST
817,STABILIZE_SELF,REST
818,REST,REST
819,AVOIDANCE,REST
820,ATTACK_OTHER,REST
821,REST,REST
822,DEPRECIATION,REST
823,ATTACK_OTHER,REST
824,AVOIDANCE,REST
825,ATTACK_OTHER,REST
826,DEPRECIATION,REST
827,ATTACK_OTHER,REST
828,ATTACK_SELF,REST
829,STABILIZE_SELF,REST
830,DEPRECIATION,REST
831,REST,REST
832,REST,REST
833,REST,REST
834,AVOIDANCE,REST
835,ATTACK_OTHER,REST
836,REST,REST
837,ATTACK_OTHER,REST
838,ATTACK_SELF,REST
839,REST,REST
840,AVOIDANCE,REST
841,ATTACK_OTHER,REST
842,AVOIDANCE,REST
843,WITHDRAWAL,REST
844,REST,REST
845,REST,REST
846,AVOIDANCE,REST
847,REST,REST
848,REST,REST
849,DEPRECIATION,REST
850,REST,REST
851,REST,REST
852,AVOIDANCE,REST
853,REST,REST
854,ATTACK_OTHER,REST
855,REST,REST
856,STABILIZE_SELF,REST
857,AVOIDANCE,REST
858,WITHDRAWAL,REST
859,REST,REST
860,DEPRECIATION,REST
861,REST,REST
862,ATTACK_SELF,REST
863,ATTACK_OTHER,REST
864,REST,REST
865,REST,REST
866,REST,REST
867,REST,REST
868,DEPRECIATION,REST
869,REST,REST
870,ATTACK_SELF,REST
871,REST,REST
872,DEPRECIATION,REST
